Metric,H-statistic,p-value (formatted),Significance,No bear mean,Average bear mean,many bear mean
BearFinalPopulation,25.9389,2.00e-06,***,0.0,13.6,36.6
BearBirths,25.8517,2.00e-06,***,0.0,9.3,40.0
BearDeaths,26.8146,2.00e-06,***,0.0,7.8,30.7
BearStarvation,26.8146,2.00e-06,***,0.0,7.8,30.7
BearCarcassCount,26.0163,2.00e-06,***,0.0,84.7,144.5
BearPlantMeals,26.7898,2.00e-06,***,0.0,62.9,227.0
BearAvgHunger,26.3131,2.00e-06,***,0.0,64.2,59.3
BearHuntAttempts,26.0103,2.00e-06,***,0.0,299.4,558.1
BearSuccessfulHunts,26.5307,2.00e-06,***,0.0,81.6,141.1
WolfFleeingTime,25.2789,3.00e-06,***,0.0,2.591,11.999
BearHuntingTime,25.2789,3.00e-06,***,0.0,77.096,43.73
BearAvgThirst,25.7423,3.00e-06,***,0.0,64.1,59.7
BearSearchFoodTime,25.0458,4.00e-06,***,0.0,100.08,150.367
BearHuntFailures,24.712,4.00e-06,***,0.0,212.2,400.4
BearAvgStamina,24.119,6.00e-06,***,0.0,66.0,75.2
BearDrinkTime,23.7599,7.00e-06,***,0.0,18.266,14.311
BearInterference,23.6943,7.00e-06,***,0.0,6.9,15.8
WolfPredation,23.8873,7.00e-06,***,0.0,9.1,21.5
BearEatTime,23.3741,8.00e-06,***,0.0,14.6079999999999,12.26
BearSearchWaterTime,23.1893,9.00e-06,***,0.0,67.185,52.0539999999999
BearAvgLifespan,23.0098,1.00e-05,***,0.0,57.66,49.052
MooseSearchFoodTime,22.8877,1.10e-05,***,147.64,126.093,87.628
MooseAvgLifespan,22.343,1.40e-05,***,39.155,36.0899999999999,29.98
WolfDefendTime,22.0454,1.60e-05,***,0.0,2.181,3.09199999999999
MooseEatTime,22.0462,1.60e-05,***,8.70999999999999,7.746,5.675
MoosePlantMeals,22.0023,1.70e-05,***,1015.4,861.7,505.8
MooseStarvation,21.0778,2.60e-05,***,67.4,47.4,22.1
MooseIdleTime,20.9987,2.80e-05,***,8.62,6.275,3.859
WolfIdleTime,20.6523,3.30e-05,***,10.1299999999999,7.369,6.037
BearMatingTime,20.5419,3.50e-05,***,0.0,0.014,0.017
MooseDrinkTime,20.451,3.60e-05,***,5.747,5.119,3.932
BearIdleTime,20.3094,3.90e-05,***,0.0,24.551,24.206
BearWanderTime,20.2638,4.00e-05,***,0.0,44.196,47.321
MooseBirths,20.2013,4.10e-05,***,172.5,145.9,86.2
MooseFinalPopulation,19.6721,5.30e-05,***,105.0,68.5,18.2
MooseFleeingTime,18.5777,9.20e-05,***,5.14,6.90799999999999,9.939
MooseSearchWaterTime,16.3417,2.83e-04,***,42.822,38.7579999999999,32.237
WolfSuccessfulHunts,16.2672,2.94e-04,***,130.2,89.1,67.4
WolfFinalPopulation,15.0533,5.39e-04,***,65.7,36.7,19.2
MooseAvgStamina,14.8507,5.96e-04,***,99.3,98.9,98.0
PackHuntSuccess,13.1458,1.40e-03,**,102.1,71.8,54.0
MooseSuccessfulEscape,12.3202,2.11e-03,**,192.8,269.9,307.3
WolfStarvation,11.8582,2.66e-03,**,96.0,68.7,50.7
PackHuntAttempts,11.3773,3.38e-03,**,122.1,87.6,71.0
WolfCarcassCount,11.0818,3.92e-03,**,647.0,487.9,350.8
MooseMatingTime,10.8372,4.43e-03,**,0.024,0.0209999999999999,0.015
MoosePredation,10.5744,5.06e-03,**,130.2,158.7,172.1
WolfBirths,10.3947,5.53e-03,**,131.9,86.5,65.2
MooseAvgHunger,10.3013,5.80e-03,**,60.2,61.2,63.1
WolfHuntAttempts,9.8516,7.26e-03,**,127.3,85.4,69.4
WolfMatingTime,9.0941,1.06e-02,*,0.074,0.102,0.029
MooseWanderTime,8.1832,1.67e-02,*,55.925,58.015,53.1539999999999
PacksFormed,6.1693,4.57e-02,*,12.6,9.1,10.3
WolfAvgStamina,5.553,6.23e-02,ns,92.5,92.7,89.8
MooseAvgThirst,4.6601,9.73e-02,ns,62.1,63.3,63.5
WolfAvgThirst,4.3644,1.13e-01,ns,60.5,60.3,58.1
WolfDeaths,4.0476,1.32e-01,ns,96.0,77.8,72.2
WolfWanderTime,3.92,1.41e-01,ns,46.8949999999999,49.719,47.504
WolfAvgHunger,3.9011,1.42e-01,ns,64.5,64.1,61.0
MooseDefendTime,3.4412,1.79e-01,ns,1.209,0.885,0.865
WolfHuntingTime,2.3871,3.03e-01,ns,40.1329999999999,41.847,36.2
MooseDeaths,2.3679,3.06e-01,ns,197.6,206.1,194.2
WolfEatTime,1.8707,3.92e-01,ns,8.595,9.686,8.378
WolfHuntFailures,1.8212,4.02e-01,ns,33.3,22.3,27.2
WolfAvgLifespan,1.4116,4.94e-01,ns,28.171,31.842,29.665
WolfSearchWaterTime,0.7974,6.71e-01,ns,15.518,16.567,16.917
WolfSearchFoodTime,0.3329,8.47e-01,ns,69.043,64.112,64.807
WolfDrinkTime,0.0723,9.65e-01,ns,7.444,8.241,7.418
BearPredation,,N/A,N/A,0.0,0.0,0.0
BearFleeingTime,,N/A,N/A,0.0,0.0,0.0
BearDefendTime,,N/A,N/A,0.0,0.0,0.0
